"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"108","B
                                                                        McConnell","Glacier Range Riders","90","375","111","42","38","17","1","4","22","58","0.296","0.366","0.379","6","5","6","2","115","88","1.31","430",2022,"hitter"
"108","K
                                                                        Whatley","Missoula PaddleHeads","34","125","37","17","10","9","1","2","12","34","0.296","0.382","0.432","8","1","5","1","30","26","1.15","149",2022,"hitter"
"110","B
                                                                        Bohning","Ogden Raptors","22","71","21","9","6","6","-","1","7","16","0.296","0.398","0.423","6","-","1","2","12","19","0.63","84",2022,"hitter"
"111","A
                                                                        Hanson","Rocky Mountain Vibes","63","197","58","43","18","13","3","4","20","50","0.294","0.359","0.452","3","2","1","3","42","46","0.91","221",2022,"hitter"
"112","R
                                                                        Gil","Boise Hawks","84","331","97","58","33","22","2","17","41","89","0.293","0.357","0.526","3","6","-","11","66","67","0.99","373",2022,"hitter"
"113","T
                                                                        Lewis","Ogden Raptors","77","247","72","41","26","20","1","5","26","75","0.291","0.373","0.441","9","5","2","2","41","59","0.69","289",2022,"hitter"
"114","D
                                                                        Popham","Colorado Springs Sky Sox","28","79","23","17","7","7","1","2","10","23","0.291","0.376","0.481","5","2","-","4","13","21","0.62","93",2022,"hitter"
"115","J
                                                                        Bermudez","Idaho Falls Chukars","17","55","16","7","4","3","-","-","3","14","0.291","0.333","0.345","-","1","-","3","13","10","1.30","60",2022,"hitter"
"115","C
                                                                        Monroe","Great Falls Voyagers","42","165","48","37","11","11","-","3","14","39","0.291","0.337","0.412","2","3","-","4","43","37","1.16","181",2022,"hitter"
"117","M
                                                                        O'Connor","Missoula PaddleHeads","67","266","77","57","21","18","2","14","34","68","0.289","0.362","0.53","11","3","-","3","54","57","0.95","301",2022,"hitter"
