"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"30","G
                                                                        Miller","Rocky Mountain Vibes","18","65","23","17","3","4","-","3","7","16","0.354","0.4","0.554","2","-","1","1","18","9","2.00","71",2024,"hitter"
"31","A
                                                                        Rios","Grand Junction Jackalopes","87","341","120","82","49","23","2","16","41","61","0.352","0.438","0.572","5","2","2","8","78","75","1.04","399",2024,"hitter"
"32","C
                                                                        Castillo","Glacier Range Riders","81","324","114","89","35","36","-","11","47","66","0.352","0.422","0.565","9","6","2","3","74","75","0.99","376",2024,"hitter"
"33","M
                                                                        Backstrom","Great Falls Voyagers","45","177","62","41","20","15","6","12","33","65","0.35","0.426","0.706","4","1","-","3","33","16","2.06","202",2024,"hitter"
"34","T
                                                                        Best","Oakland Ballers","6","20","7","3","3","3","-","-","3","4","0.35","0.435","0.5","-","-","-","1","2","7","0.29","23",2024,"hitter"
"35","J
                                                                        Day","Rocky Mountain Vibes","90","363","127","82","49","22","5","18","45","71","0.35","0.436","0.587","9","3","1","7","92","65","1.42","425",2024,"hitter"
"36","G
                                                                        Morgan","Idaho Falls Chukars","30","126","44","15","12","9","1","2","12","19","0.349","0.414","0.484","2","-","-","3","26","37","0.70","140",2024,"hitter"
"37","N
                                                                        Ultsch","Boise Hawks","90","361","126","86","36","21","7","10","38","66","0.349","0.418","0.529","11","6","-","6","112","56","2.00","414",2024,"hitter"
"38","C
                                                                        Monroe","Idaho Falls Chukars","20","66","23","13","18","5","1","4","10","17","0.348","0.5","0.636","2","-","-","2","15","10","1.50","86",2024,"hitter"
"39","G
                                                                        DiGiacomo","Missoula PaddleHeads","9","23","8","5","4","-","-","1","1","5","0.348","0.444","0.478","-","-","-","-","4","4","1.00","27",2024,"hitter"
"40","K
                                                                        Liniak","Glacier Range Riders","26","98","34","29","10","13","-","8","21","21","0.347","0.426","0.724","5","2","-","1","17","28","0.61","115",2024,"hitter"
"41","D
                                                                        Gomez","Colorado Springs Sky Sox","88","316","109","98","46","18","1","30","49","88","0.345","0.449","0.693","15","2","2","2","55","58","0.95","381",2024,"hitter"
"42","J
                                                                        Cone","Ogden Raptors","92","352","121","58","42","26","2","12","40","54","0.344","0.427","0.531","15","8","5","1","64","119","0.54","422",2024,"hitter"
"43","T
                                                                        Viola","Boise Hawks","94","385","132","94","38","30","-","28","58","83","0.343","0.427","0.639","20","2","-","15","66","95","0.69","445",2024,"hitter"
"44","C
                                                                        Green","Great Falls Voyagers","35","117","40","16","11","5","3","-","8","31","0.342","0.398","0.436","2","3","1","3","20","27","0.74","134",2024,"hitter"
"45","S
                                                                        Rivas","Rocky Mountain Vibes","93","404","138","124","30","31","5","31","67","95","0.342","0.391","0.673","5","4","-","5","83","83","1.00","443",2024,"hitter"
"46","A
                                                                        Fritz","Great Falls Voyagers","17","41","14","8","4","2","-","1","3","9","0.341","0.391","0.463","-","1","-","-","8","8","1.00","46",2024,"hitter"
"47","J
                                                                        Nicol","Great Falls Voyagers","13","44","15","13","5","8","-","4","12","11","0.341","0.392","0.795","-","2","-","-","9","9","1.00","51",2024,"hitter"
"48","C
                                                                        Runge","Missoula PaddleHeads","64","241","82","57","33","16","1","11","28","39","0.34","0.42","0.552","5","7","-","10","54","66","0.82","286",2024,"hitter"
"49","R
                                                                        Orsak","Glacier Range Riders","19","53","18","7","6","5","-","-","5","8","0.34","0.407","0.434","-","-","-","-","11","15","0.73","59",2024,"hitter"
"50","M
                                                                        Yonamine","Boise Hawks","96","411","139","96","40","21","2","24","47","95","0.338","0.405","0.574","10","6","-","11","81","91","0.89","467",2024,"hitter"
"51","E
                                                                        Niemann","Yuba-Sutter Freebirds","26","77","26","13","2","3","-","2","5","8","0.338","0.395","0.455","6","1","-","2","25","17","1.47","86",2024,"hitter"
"52","B
                                                                        Rosengard","Idaho Falls Chukars","31","104","35","8","13","6","1","-","7","32","0.337","0.43","0.413","4","-","2","2","25","12","2.08","123",2024,"hitter"
"53","E
                                                                        Diaz","Colorado Springs Sky Sox","79","262","88","58","37","14","1","6","21","53","0.336","0.423","0.466","6","5","1","7","90","29","3.10","311",2024,"hitter"
"54","T
                                                                        Lomack","Yuba-Sutter Freebirds","80","281","94","31","54","9","3","2","14","57","0.335","0.445","0.409","2","-","-","4","76","47","1.62","337",2024,"hitter"
"55","N
                                                                        Adgar","Ogden Raptors","3","3","1","0","-","-","-","-","0","-","0.333","0.333","0.333","-","-","-","-","-","2","-","3",2024,"hitter"
"55","K
                                                                        Byrne","Rocky Mountain Vibes","22","84","28","26","11","4","-","4","8","15","0.333","0.423","0.524","2","-","-","-","22","17","1.29","97",2024,"hitter"
"55","T
                                                                        Davis","Oakland Ballers","7","3","1","0","1","-","-","-","0","1","0.333","0.5","0.333","-","-","-","-","-","1","-","4",2024,"hitter"
"55","W
                                                                        Fuenning","Ogden Raptors","8","15","5","2","2","1","-","1","2","7","0.333","0.412","0.6","-","-","-","-","1","1","1.00","17",2024,"hitter"
"55","J
                                                                        Gates","Oakland Ballers","24","69","23","11","6","5","-","3","8","14","0.333","0.41","0.536","3","-","1","2","24","8","3.00","79",2024,"hitter"
"55","B
                                                                        Harding","Grand Junction Jackalopes","25","81","27","10","14","3","-","-","3","12","0.333","0.444","0.37","3","1","-","1","25","13","1.92","99",2024,"hitter"
"55","A
                                                                        Shumaker","Grand Junction Jackalopes","29","78","26","11","11","2","-","1","3","17","0.333","0.411","0.397","-","1","3","1","22","16","1.38","93",2024,"hitter"
"55","S
                                                                        Thompson","Rocky Mountain Vibes","6","18","6","5","3","1","-","-","1","6","0.333","0.429","0.389","-","-","-","-","5","-","-","21",2024,"hitter"
"63","R
                                                                        Major","Great Falls Voyagers","92","340","113","44","33","21","9","7","37","62","0.332","0.393","0.509","4","5","1","6","86","75","1.15","383",2024,"hitter"
"64","K
                                                                        Kaler","Boise Hawks","43","172","57","24","34","8","3","3","14","25","0.331","0.445","0.465","2","1","1","4","42","41","1.02","210",2024,"hitter"
"65","B
                                                                        Ryan","Billings Mustangs","87","332","110","64","55","20","6","11","37","58","0.331","0.454","0.527","21","2","1","5","84","69","1.22","411",2024,"hitter"
"66","T
                                                                        Halsema","Rocky Mountain Vibes","86","339","112","70","38","19","4","10","33","62","0.33","0.398","0.499","3","4","-","7","90","71","1.27","384",2024,"hitter"
"67","A
                                                                        Sanchez","Missoula PaddleHeads","76","306","101","92","42","22","2","20","44","77","0.33","0.412","0.611","2","2","1","4","68","53","1.28","353",2024,"hitter"
"68","T
                                                                        Wyatt","Idaho Falls Chukars","93","373","123","78","49","27","2","17","46","74","0.33","0.417","0.55","7","-","2","6","76","94","0.81","431",2024,"hitter"
"69","C
                                                                        Perez","Missoula PaddleHeads","25","88","29","17","7","6","-","4","10","25","0.33","0.406","0.534","5","1","-","1","17","13","1.31","101",2024,"hitter"
"70","D
                                                                        Stuart","Oakland Ballers","38","140","46","22","17","4","1","7","12","21","0.329","0.417","0.521","5","1","-","4","37","33","1.12","163",2024,"hitter"
"71","A
                                                                        Davis","Rocky Mountain Vibes","88","366","120","56","54","27","3","10","40","77","0.328","0.418","0.5","4","2","3","2","83","84","0.99","429",2024,"hitter"
"72","B
                                                                        Lada","Yuba-Sutter Freebirds","87","342","112","83","22","25","4","17","46","80","0.327","0.386","0.573","15","7","2","9","71","81","0.88","388",2024,"hitter"
"73","D
                                                                        Rivera","Grand Junction Jackalopes","54","220","72","32","15","15","2","7","24","40","0.327","0.388","0.509","7","-","3","5","52","55","0.95","245",2024,"hitter"
"74","H
                                                                        Yanez","Great Falls Voyagers","38","147","48","28","17","12","-","3","15","31","0.327","0.399","0.469","2","2","2","6","43","27","1.59","170",2024,"hitter"
"75","R
                                                                        Pena","Missoula PaddleHeads","91","389","127","101","46","27","1","24","52","126","0.326","0.41","0.586","11","3","1","12","73","54","1.35","450",2024,"hitter"
"76","B
                                                                        Blackford","Yuba-Sutter Freebirds","83","285","93","65","44","26","1","13","40","78","0.326","0.414","0.561","3","6","5","6","64","51","1.25","343",2024,"hitter"
"77","K
                                                                        Jimenez","Colorado Springs Sky Sox","90","338","110","65","40","24","-","6","30","68","0.325","0.397","0.45","4","6","4","8","87","80","1.09","392",2024,"hitter"
"78","O
                                                                        Serratos Jr.","Great Falls Voyagers","59","209","68","35","20","11","4","4","19","53","0.325","0.394","0.474","7","5","2","5","39","50","0.78","243",2024,"hitter"
"79","J
                                                                        Daly","Glacier Range Riders","22","71","23","15","12","5","2","2","9","22","0.324","0.424","0.535","1","1","-","-","14","12","1.17","85",2024,"hitter"
"80","G
                                                                        Howell","Glacier Range Riders","66","273","88","47","27","16","3","9","28","64","0.322","0.38","0.502","1","4","2","6","61","57","1.07","307",2024,"hitter"
"81","C
                                                                        Jordan","Ogden Raptors","68","258","83","51","31","9","3","8","20","43","0.322","0.417","0.473","14","4","7","3","66","70","0.94","314",2024,"hitter"
"82","H
                                                                        Hall","Great Falls Voyagers","73","243","78","47","19","16","2","8","26","58","0.321","0.387","0.502","8","1","-","3","47","59","0.80","271",2024,"hitter"
"83","M
                                                                        Jefferson","Oakland Ballers","39","147","47","27","17","6","1","3","10","26","0.32","0.405","0.435","4","-","-","5","44","28","1.57","168",2024,"hitter"
"84","R
                                                                        Holgate","Great Falls Voyagers","19","72","23","15","11","2","-","4","6","21","0.319","0.424","0.514","2","-","-","3","14","13","1.08","85",2024,"hitter"
"85","P
                                                                        Harden","Oakland Ballers","82","310","99","31","47","10","4","4","18","80","0.319","0.409","0.416","2","3","3","3","81","49","1.65","365",2024,"hitter"
"86","C
                                                                        Denning","Billings Mustangs","55","204","65","49","35","10","-","9","19","49","0.319","0.43","0.5","7","3","-","2","39","53","0.74","249",2024,"hitter"
"87","H
                                                                        George","Colorado Springs Sky Sox","89","333","106","66","69","34","4","12","50","57","0.318","0.434","0.553","3","5","-","6","81","87","0.93","410",2024,"hitter"
"88","J
                                                                        Lee","Missoula PaddleHeads","20","44","14","15","3","3","-","2","5","11","0.318","0.38","0.523","2","1","-","2","10","8","1.25","50",2024,"hitter"
"89","B
                                                                        Carson","Oakland Ballers","87","350","111","65","59","24","3","13","40","98","0.317","0.417","0.514","2","1","1","3","79","56","1.41","413",2024,"hitter"
"90","N
                                                                        Martinez","Oakland Ballers","88","325","103","71","72","20","-","21","41","90","0.317","0.445","0.572","3","-","-","5","74","48","1.54","400",2024,"hitter"
"91","K
                                                                        Johnson","Idaho Falls Chukars","30","95","30","15","13","8","1","-","9","19","0.316","0.449","0.421","10","-","-","1","26","16","1.63","118",2024,"hitter"
"92","C
                                                                        Sargent","Ogden Raptors","91","358","113","95","34","20","2","19","41","75","0.316","0.372","0.542","2","7","-","10","72","90","0.80","401",2024,"hitter"
"93","C
                                                                        Gordon","Missoula PaddleHeads","71","260","82","60","54","15","1","11","27","74","0.315","0.446","0.508","8","1","-","4","43","56","0.77","323",2024,"hitter"
"94","D
                                                                        Hubbard","Oakland Ballers","87","346","109","71","36","27","-","16","43","47","0.315","0.39","0.532","9","4","1","9","91","92","0.99","396",2024,"hitter"
"95","R
                                                                        Mccarthy","Idaho Falls Chukars","55","181","57","29","40","11","-","4","15","41","0.315","0.459","0.442","10","2","4","2","50","39","1.28","237",2024,"hitter"
"96","D
                                                                        Tofteland","Rocky Mountain Vibes","91","316","99","77","63","26","1","17","44","87","0.313","0.448","0.563","15","1","4","9","76","51","1.49","399",2024,"hitter"
"97","D
                                                                        Glancy","Yuba-Sutter Freebirds","34","99","31","20","17","5","1","4","10","17","0.313","0.415","0.505","3","4","-","1","20","33","0.61","123",2024,"hitter"
"98","F
                                                                        Rojas Jr.","Great Falls Voyagers","89","294","92","60","58","14","2","12","28","76","0.313","0.437","0.497","9","3","-","6","76","44","1.73","364",2024,"hitter"
"99","C
                                                                        Halvorson","Grand Junction Jackalopes","67","237","74","50","28","16","3","12","31","36","0.312","0.391","0.557","5","4","-","4","60","64","0.94","274",2024,"hitter"
"100","T
                                                                        Clark","Oakland Ballers","38","138","43","23","11","8","-","4","12","26","0.312","0.406","0.457","11","-","-","3","32","33","0.97","160",2024,"hitter"
"101","T
                                                                        Rogers","Idaho Falls Chukars","88","322","100","79","65","23","-","14","37","77","0.311","0.438","0.512","13","6","-","7","78","62","1.26","406",2024,"hitter"
"102","S
                                                                        Wilmer","Oakland Ballers","83","290","90","57","49","24","-","9","33","85","0.31","0.42","0.486","8","3","7","2","57","60","0.95","357",2024,"hitter"
"103","L
                                                                        Barns","Ogden Raptors","84","315","97","50","21","14","2","2","18","51","0.308","0.375","0.384","14","2","8","11","98","71","1.38","360",2024,"hitter"
"104","A
                                                                        Figueredo","Yuba-Sutter Freebirds","69","234","72","53","43","16","-","7","23","46","0.308","0.406","0.466","1","8","-","6","53","67","0.79","286",2024,"hitter"
"105","A
                                                                        Mata","Idaho Falls Chukars","35","137","42","20","16","4","2","3","9","32","0.307","0.377","0.431","-","1","2","2","42","23","1.83","156",2024,"hitter"
"106","C
                                                                        Chatham","Great Falls Voyagers","20","49","15","2","11","-","-","-","0","19","0.306","0.426","0.306","-","1","-","-","9","7","1.29","61",2024,"hitter"
"107","D
                                                                        Crenshaw","Billings Mustangs","9","36","11","6","7","2","-","1","3","6","0.306","0.419","0.444","-","-","-","-","9","6","1.50","43",2024,"hitter"
"108","P
                                                                        Mills","Billings Mustangs","46","167","51","54","45","12","2","12","26","49","0.305","0.452","0.617","2","3","-","5","25","43","0.58","217",2024,"hitter"
"109","D
                                                                        Poteet","Boise Hawks","40","141","43","27","17","8","1","1","10","34","0.305","0.379","0.397","1","2","-","-","35","28","1.25","161",2024,"hitter"
"110","S
                                                                        Kuchinski","Grand Junction Jackalopes","52","187","57","57","32","9","-","15","24","54","0.305","0.417","0.594","4","-","1","5","41","31","1.32","224",2024,"hitter"
"111","M
                                                                        Sykes","Rocky Mountain Vibes","45","158","48","29","11","8","1","3","12","38","0.304","0.374","0.424","8","2","2","1","35","29","1.21","181",2024,"hitter"
"112","K
                                                                        Jenkins","Idaho Falls Chukars","18","56","17","10","11","3","-","-","3","12","0.304","0.418","0.357","-","-","-","4","20","6","3.33","67",2024,"hitter"
"113","G
                                                                        Lora","Billings Mustangs","42","142","43","31","23","12","-","3","15","27","0.303","0.425","0.451","8","1","2","7","37","32","1.16","176",2024,"hitter"
"114","R
                                                                        Gil","Ogden Raptors","67","215","65","53","27","15","-","18","33","83","0.302","0.395","0.623","8","3","-","3","36","33","1.09","253",2024,"hitter"
"114","D
                                                                        Leach","Billings Mustangs","39","129","39","19","31","5","2","8","15","49","0.302","0.448","0.558","3","-","-","1","13","25","0.52","163",2024,"hitter"
"116","J
                                                                        Kirby","Yuba-Sutter Freebirds","31","96","29","26","15","2","3","6","11","27","0.302","0.385","0.573","1","5","-","2","19","24","0.79","117",2024,"hitter"
"117","E
                                                                        Blum","Billings Mustangs","42","123","37","23","14","7","-","7","14","39","0.301","0.39","0.528","4","-","1","4","28","17","1.65","142",2024,"hitter"
"118","E
                                                                        Bates","Yuba-Sutter Freebirds","15","10","3","3","-","-","-","-","0","1","0.3","0.273","0.3","-","1","-","1","2","5","0.40","11",2024,"hitter"
"119","E
                                                                        Good","Ogden Raptors","45","151","45","25","19","9","2","5","16","38","0.298","0.385","0.483","3","1","3","4","37","33","1.12","177",2024,"hitter"
"120","B
                                                                        Skinner","Yuba-Sutter Freebirds","90","363","108","49","44","18","2","8","28","74","0.298","0.379","0.424","5","2","2","6","120","56","2.14","416",2024,"hitter"
"121","B
                                                                        Fitzgerald","Glacier Range Riders","77","254","75","59","38","23","1","17","41","69","0.295","0.42","0.594","18","2","3","1","52","58","0.90","315",2024,"hitter"
"122","J
                                                                        Rooks","Billings Mustangs","34","95","28","24","27","7","1","3","11","35","0.295","0.473","0.484","7","2","-","4","19","12","1.58","131",2024,"hitter"
"123","C
                                                                        Corliss","Idaho Falls Chukars","21","51","15","9","8","3","-","-","3","13","0.294","0.4","0.353","1","-","1","2","14","8","1.75","61",2024,"hitter"
"123","N
                                                                        Klemp","Boise Hawks","69","255","75","41","32","18","1","5","24","38","0.294","0.381","0.431","5","2","-","8","66","68","0.97","294",2024,"hitter"
"125","J
                                                                        Shanks","Idaho Falls Chukars","45","160","47","33","17","12","1","4","17","43","0.294","0.413","0.456","17","2","-","2","39","30","1.30","196",2024,"hitter"
"1","J
                                                                        Ochoa","Colorado Springs Sky Sox","28","1","1","3","-","-","-","1","1","-","1","1","4","-","-","-","-","-","-","-","1",2025,"hitter"
"2","J
                                                                        Smith","Colorado Springs Sky Sox","2","4","2","1","3","-","-","-","0","1","0.5","0.714","0.5","-","-","-","1","1","-","-","7",2025,"hitter"
"3","B
                                                                        Rosengard","Idaho Falls Chukars","66","229","106","57","49","16","6","10","32","43","0.463","0.558","0.716","3","2","1","5","41","39","1.05","284",2025,"hitter"
"4","T
                                                                        Darden","Boise Hawks","95","371","159","125","68","25","8","18","51","58","0.429","0.524","0.685","10","3","-","8","77","70","1.10","452",2025,"hitter"
"5","S
                                                                        Linscott","Rocky Mountain Vibes","90","382","151","87","31","23","4","14","41","36","0.395","0.447","0.586","7","3","-","5","82","103","0.80","423",2025,"hitter"
"6","A
                                                                        Fogel","Missoula PaddleHeads","79","320","124","108","38","21","2","34","57","63","0.388","0.463","0.784","12","6","-","8","65","68","0.96","376",2025,"hitter"
"7","D
                                                                        Leach","Billings Mustangs","12","44","17","13","11","7","-","3","10","8","0.386","0.517","0.75","2","1","-","-","4","14","0.29","58",2025,"hitter"
"8","S
                                                                        Rich","Idaho Falls Chukars","51","192","74","58","22","8","-","13","21","47","0.385","0.455","0.63","4","2","1","4","29","42","0.69","221",2025,"hitter"
"9","M
                                                                        Titialii","Colorado Springs Sky Sox","4","13","5","1","2","-","-","-","0","5","0.385","0.467","0.385","-","-","-","-","2","1","2.00","15",2025,"hitter"
"10","C
                                                                        Sargent Jr.","Ogden Raptors","80","352","135","130","36","21","-","35","56","57","0.384","0.443","0.741","5","4","1","12","62","94","0.66","398",2025,"hitter"
"11","C
                                                                        Halvorson","Grand Junction Jackalopes","44","167","64","41","16","11","1","5","17","15","0.383","0.46","0.551","12","5","-","7","44","50","0.88","200",2025,"hitter"
"12","M
                                                                        Rosario","Missoula PaddleHeads","87","374","143","75","29","28","4","13","45","41","0.382","0.431","0.583","7","5","-","7","92","90","1.02","415",2025,"hitter"
"13","D
                                                                        Stone","Ogden Raptors","79","314","120","52","48","24","2","5","31","42","0.382","0.478","0.519","13","4","3","2","76","74","1.03","382",2025,"hitter"
"14","S
                                                                        Coffman","Grand Junction Jackalopes","77","333","127","90","33","23","2","12","37","37","0.381","0.436","0.571","3","5","4","12","96","71","1.35","378",2025,"hitter"
"15","B
                                                                        Roberts","Colorado Springs Sky Sox","67","287","109","65","27","22","2","20","44","41","0.38","0.429","0.679","-","3","-","5","69","65","1.06","317",2025,"hitter"
"16","T
                                                                        Rogers","Idaho Falls Chukars","92","383","145","104","61","37","2","28","67","68","0.379","0.478","0.705","14","2","-","16","87","76","1.14","460",2025,"hitter"
"17","J
                                                                        Feliciano","Rocky Mountain Vibes","13","37","14","9","12","1","-","-","1","6","0.378","0.549","0.405","2","-","1","-","12","4","3.00","52",2025,"hitter"
"18","S
                                                                        Greico","Ogden Raptors","11","45","17","13","4","2","-","4","6","5","0.378","0.44","0.689","1","-","-","-","11","11","1.00","50",2025,"hitter"
"19","K
                                                                        Clark","Rocky Mountain Vibes","58","239","90","70","45","24","-","12","36","63","0.377","0.471","0.628","1","4","-","4","37","47","0.79","289",2025,"hitter"
"20","T
                                                                        Garcia","Rocky Mountain Vibes","77","287","108","70","31","16","3","4","23","32","0.376","0.444","0.495","9","6","2","10","98","50","1.96","335",2025,"hitter"
"21","G
                                                                        Ostrander","Idaho Falls Chukars","81","315","117","51","57","22","2","9","33","25","0.371","0.478","0.54","9","2","1","6","86","79","1.09","384",2025,"hitter"
"21","C
                                                                        Pregent","Rocky Mountain Vibes","10","35","13","9","5","1","-","2","3","5","0.371","0.452","0.571","1","1","-","3","9","8","1.13","42",2025,"hitter"
"23","J
                                                                        Pappas","Idaho Falls Chukars","60","224","83","65","42","8","-","13","21","33","0.371","0.484","0.58","12","5","-","4","45","64","0.70","283",2025,"hitter"
"24","A
                                                                        Chouinard","Rocky Mountain Vibes","57","189","70","46","21","18","-","4","22","33","0.37","0.441","0.529","6","4","-","4","44","43","1.02","220",2025,"hitter"
"25","D
                                                                        Leonard","Great Falls Voyagers","5","19","7","0","-","1","-","-","1","2","0.368","0.4","0.421","1","-","-","-","5","4","1.25","20",2025,"hitter"
"26","B
                                                                        Watkins","Great Falls Voyagers","26","99","36","18","15","7","-","4","11","26","0.364","0.458","0.556","4","2","1","2","17","22","0.77","121",2025,"hitter"
"27","S
                                                                        Baumgardt","Idaho Falls Chukars","74","285","103","77","39","24","1","19","44","54","0.361","0.444","0.653","9","7","1","17","60","69","0.87","341",2025,"hitter"
"28","M
                                                                        Jung-Goldberg","Boise Hawks","94","360","130","130","65","28","4","26","58","61","0.361","0.476","0.678","17","3","2","8","75","93","0.81","447",2025,"hitter"
"29","B
                                                                        Pelle","Ogden Raptors","21","50","18","11","4","3","-","2","5","11","0.36","0.418","0.54","1","-","-","3","15","5","3.00","55",2025,"hitter"
"30","R
                                                                        Pena","Missoula PaddleHeads","95","388","139","129","58","27","1","46","74","88","0.358","0.452","0.789","11","3","-","15","69","85","0.81","460",2025,"hitter"
"31","E
                                                                        Scavotto","Grand Junction Jackalopes","95","369","132","104","86","21","2","22","45","109","0.358","0.48","0.604","5","5","-","7","68","59","1.15","465",2025,"hitter"
"32","E
                                                                        Berkey","Yuba-Sutter Freebirds","81","273","97","80","48","17","1","21","39","68","0.355","0.48","0.656","23","6","4","8","50","59","0.85","354",2025,"hitter"
"33","C
                                                                        Bagnieski","Ogden Raptors","84","339","120","110","68","18","-","23","41","52","0.354","0.463","0.611","8","8","1","12","78","94","0.83","424",2025,"hitter"
"34","C
                                                                        Lane","Ogden Raptors","95","395","139","88","35","29","1","8","38","61","0.352","0.413","0.491","10","5","2","4","101","88","1.15","447",2025,"hitter"
"35","K
                                                                        Oyama","Ogden Raptors","90","350","123","59","47","16","2","-","18","33","0.351","0.438","0.409","15","10","9","6","128","79","1.62","431",2025,"hitter"
"36","N
                                                                        Marcelo","Boise Hawks","96","424","149","75","45","31","9","12","52","60","0.351","0.421","0.552","9","4","4","9","111","92","1.21","486",2025,"hitter"
"37","J
                                                                        McLaughlin","Glacier Range Riders","13","60","21","9","4","1","1","2","4","15","0.35","0.412","0.5","3","1","-","-","13","11","1.18","68",2025,"hitter"
"38","R
                                                                        Orsak","Yuba-Sutter Freebirds","88","372","130","84","44","22","-","19","41","52","0.349","0.424","0.562","6","3","1","9","90","86","1.05","426",2025,"hitter"
"39","C
                                                                        Bufford","Oakland Ballers","88","347","121","76","30","19","2","21","42","89","0.349","0.403","0.597","5","5","-","10","60","67","0.90","387",2025,"hitter"
"40","L
                                                                        Moreno","Great Falls Voyagers","19","49","17","10","8","2","-","1","3","12","0.347","0.508","0.449","8","-","-","2","10","9","1.11","65",2025,"hitter"
"41","A
                                                                        Mata","Idaho Falls Chukars","71","280","97","57","21","20","4","5","29","46","0.346","0.393","0.5","3","4","1","9","92","44","2.09","309",2025,"hitter"
"42","C
                                                                        Jordan","Ogden Raptors","91","373","129","82","45","23","3","12","38","42","0.346","0.425","0.52","11","6","2","14","69","132","0.52","437",2025,"hitter"
"43","D
                                                                        Tofteland","Rocky Mountain Vibes","91","354","122","103","50","26","3","15","44","76","0.345","0.45","0.562","21","4","-","13","76","79","0.96","429",2025,"hitter"
"44","P
                                                                        Myro IV","Boise Hawks","84","325","112","72","51","23","5","2","30","75","0.345","0.449","0.465","17","8","1","3","65","80","0.81","402",2025,"hitter"
"45","C
                                                                        Castaneda","Grand Junction Jackalopes","74","279","96","54","36","18","-","11","29","68","0.344","0.422","0.527","5","5","1","3","42","74","0.57","326",2025,"hitter"
"46","I
                                                                        Nunez","Grand Junction Jackalopes","90","326","112","70","63","14","-","17","31","69","0.344","0.463","0.543","13","4","9","4","72","76","0.95","415",2025,"hitter"
"47","C
                                                                        Bowen","Billings Mustangs","93","393","135","63","17","24","3","10","37","68","0.344","0.378","0.496","7","4","2","12","89","88","1.01","423",2025,"hitter"
"48","T
                                                                        Dooley","Rocky Mountain Vibes","43","164","56","19","31","13","-","-","13","34","0.341","0.455","0.421","5","2","2","2","52","21","2.48","204",2025,"hitter"
"49","C
                                                                        Horner","Boise Hawks","15","44","15","9","11","4","-","1","5","5","0.341","0.492","0.5","3","1","1","1","11","12","0.92","60",2025,"hitter"
"50","Z
                                                                        Roos","Grand Junction Jackalopes","89","355","121","75","65","32","4","14","50","64","0.341","0.466","0.572","22","4","-","7","61","96","0.64","446",2025,"hitter"
"51","T
                                                                        Fontenot","Ogden Raptors","93","370","126","68","32","36","1","7","44","80","0.341","0.407","0.5","12","4","8","9","85","85","1.00","426",2025,"hitter"
"52","N
                                                                        Klemp","Missoula PaddleHeads","53","212","72","47","32","14","4","14","32","39","0.34","0.433","0.642","3","-","-","5","54","42","1.29","247",2025,"hitter"
"53","D
                                                                        Tatum","Oakland Ballers","68","225","76","75","45","9","-","23","32","50","0.338","0.455","0.684","4","1","-","3","38","56","0.68","275",2025,"hitter"
"54","J
                                                                        Hjelle","Boise Hawks","92","394","133","102","22","35","2","26","63","92","0.338","0.381","0.635","8","4","-","8","52","107","0.49","428",2025,"hitter"
"55","E
                                                                        Underwood","Boise Hawks","88","309","104","68","60","16","1","6","23","65","0.337","0.463","0.453","16","4","3","9","98","40","2.45","392",2025,"hitter"
"56","M
                                                                        O'Hara","Oakland Ballers","37","110","37","14","6","8","-","1","9","27","0.336","0.388","0.436","4","1","-","1","17","27","0.63","121",2025,"hitter"
"57","K
                                                                        Schmack","Great Falls Voyagers","38","128","43","26","21","8","1","6","15","48","0.336","0.482","0.555","17","2","-","1","14","25","0.56","168",2025,"hitter"
"58","K
                                                                        Moody","Colorado Springs Sky Sox","76","274","92","69","55","21","4","8","33","41","0.336","0.442","0.529","1","5","-","6","49","90","0.54","335",2025,"hitter"
"59","T
                                                                        Wyatt","Idaho Falls Chukars","81","331","111","94","42","28","1","15","44","73","0.335","0.416","0.562","6","3","-","5","61","80","0.76","382",2025,"hitter"
"60","E
                                                                        Sleight","Missoula PaddleHeads","76","305","102","66","36","23","2","16","41","63","0.334","0.418","0.58","9","2","-","2","61","75","0.81","352",2025,"hitter"
"61","C
                                                                        Booth","Rocky Mountain Vibes","90","381","127","62","44","13","6","8","27","97","0.333","0.422","0.462","18","5","1","3","71","81","0.88","449",2025,"hitter"
"61","T
                                                                        Cruz","Great Falls Voyagers","56","219","73","32","29","10","5","6","21","47","0.333","0.41","0.507","-","1","-","4","57","37","1.54","249",2025,"hitter"
"61","C
                                                                        Dayton","Boise Hawks","37","18","6","3","3","2","-","1","3","3","0.333","0.5","0.611","3","-","-","-","4","5","0.80","24",2025,"hitter"
"61","M
                                                                        Jackson","Colorado Springs Sky Sox","11","27","9","2","8","3","-","-","3","9","0.333","0.5","0.444","1","-","-","-","4","5","0.80","36",2025,"hitter"
"61","Q
                                                                        Landis","Colorado Springs Sky Sox","75","255","85","31","54","13","2","8","23","34","0.333","0.464","0.494","11","3","-","9","49","84","0.58","323",2025,"hitter"
"61","S
                                                                        Lynch","Billings Mustangs","10","36","12","9","4","2","-","2","4","20","0.333","0.4","0.556","-","-","1","-","-","3","-","41",2025,"hitter"
"61","A
                                                                        MacKenzie","Great Falls Voyagers","2","3","1","0","-","-","-","-","0","2","0.333","0.333","0.333","-","-","-","-","-","-","-","3",2025,"hitter"
