"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"3","J
                                                                        Acosta","Boise Hawks","0","-","-","-","-","-","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"4","W
                                                                        Adams","RedPocket Mobiles","8.15","1","6","20","0","2","17.2","16","16","16","19","21","10.7","2","1.98","90","2","3",2026,"pitcher"
"5","C
                                                                        Adamson","RedPocket Mobiles","12.91","0","3","3","3","0","15.1","25","22","22","5","9","5.28","7","1.96","77","1","-",2026,"pitcher"
"6","Z
                                                                        Addkison","Yuba-Sutter Freebirds","29.84","0","1","4","2","0","6.1","23","21","21","11","4","5.68","5","5.37","51","1","-",2026,"pitcher"
"7","D
                                                                        Aguiar","Yuba-Sutter Freebirds","10.13","0","2","14","0","0","16","20","19","18","18","13","7.31","4","2.38","93","3","4",2026,"pitcher"
"8","L
                                                                        Alaniz","Modesto Roadsters","4.82","0","0","13","0","0","18.2","18","11","10","12","13","6.27","2","1.61","89","1","5",2026,"pitcher"
"9","C
                                                                        Allen","Great Falls Voyagers","0","-","-","-","-","-","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"9","J
                                                                        Allgeyer","Oakland Ballers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"12","E
                                                                        Amundson","Yuba-Sutter Freebirds","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"12","A
                                                                        Anderson","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"12","D
                                                                        Andiarena","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"16","E
                                                                        Apodaca","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"17","J
                                                                        Aponte","Yuba-Sutter Freebirds","6.75","1","1","5","0","0","4","5","3","3","4","5","11.25","-","2.25","19","-","-",2026,"pitcher"
"18","D
                                                                        Aragon","Yuba-Sutter Freebirds","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"18","K
                                                                        Ashworth","Glacier Range Riders","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"20","D
                                                                        Aspinwall","RedPocket Mobiles","0","0","0","2","0","0","1.2","1","-","-","3","0","0","-","2.40","9","1","-",2026,"pitcher"
"21","I
                                                                        Austin IV","Ogden Raptors","11.42","2","0","8","0","0","8.2","13","13","11","12","8","8.31","2","2.88","52","-","2",2026,"pitcher"
"23","A
                                                                        Balentine","Oakland Ballers","6.75","0","0","3","0","0","4","3","3","3","3","0","0","2","1.50","18","-","1",2026,"pitcher"
"24","M
                                                                        Ball","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"26","J
                                                                        Ballista","Missoula PaddleHeads","7.94","0","1","5","0","0","5.2","12","5","5","1","2","3.18","2","2.29","28","-","-",2026,"pitcher"
"27","M
                                                                        Bardowell","Long Beach Coast","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"28","B
                                                                        Barker","Oakland Ballers","14.54","0","0","5","0","0","4.1","11","8","7","3","3","6.23","2","3.23","28","1","-",2026,"pitcher"
"29","B
                                                                        Barker","Idaho Falls Chukars","21.38","0","0","6","0","0","8","21","19","19","12","8","9","1","4.13","56","1","-",2026,"pitcher"
"31","B
                                                                        Barquin","Yuba-Sutter Freebirds","14.73","0","1","7","2","0","14.2","28","25","24","9","10","6.14","3","2.52","82","1","4",2026,"pitcher"
"32","A
                                                                        Barranca","Great Falls Voyagers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"32","E
                                                                        Barrera","Idaho Falls Chukars","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"32","L
                                                                        Barry","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"35","W
                                                                        Bartkoski","Glacier Range Riders","16.2","1","0","4","0","0","5","12","9","9","5","3","5.4","2","3.40","31","-","-",2026,"pitcher"
"36","T
                                                                        Bates","Oakland Ballers","1.35","0","0","5","0","0","6.2","3","1","1","4","7","9.45","1","1.05","26","-","-",2026,"pitcher"
"38","M
                                                                        Beale","Oakland Ballers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"40","L
                                                                        Beard","Glacier Range Riders","54","0","0","1","0","0","1","8","6","6","-","0","0","1","8.00","11","-","-",2026,"pitcher"
"41","J
                                                                        Begora","Boise Hawks","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"42","J
                                                                        Bell","Great Falls Voyagers","9","0","0","3","0","1","2","2","2","2","1","1","4.5","1","1.50","10","-","-",2026,"pitcher"
"44","L
                                                                        Bell","Yuba-Sutter Freebirds","18","0","0","1","0","0","1","1","2","2","2","2","18","-","3.00","6","-","-",2026,"pitcher"
"46","A
                                                                        Bergeron","Yuba-Sutter Freebirds","54","0","0","3","0","0","2","11","17","12","7","0","0","1","9.00","24","-","1",2026,"pitcher"
"47","C
                                                                        Bergman","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"47","W
                                                                        Bermudez","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"47","C
                                                                        Bess","Long Beach Coast","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"47","T
                                                                        Best","Boise Hawks","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"52","G
                                                                        Bevacqua","Ogden Raptors","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"53","J
                                                                        Bickford","Idaho Falls Chukars","6.23","0","0","6","0","0","8.2","12","8","6","10","12","12.46","1","2.54","47","4","1",2026,"pitcher"
